id,new_item,new_resp,correct,rt
1,0,1,0,2.651497
1,0,0,1,1.397002
1,0,0,1,1.37698
1,0,0,1,1.777742
1,0,0,1,1.106758
1,0,0,1,1.496114
1,1,1,1,1.609932
1,1,1,1,0.956915
1,1,1,1,0.86723
1,1,0,0,1.292571
1,0,0,1,1.086253
1,1,1,1,1.59114
1,0,0,1,1.490851
1,0,0,1,0.989886
1,0,0,1,0.875439
1,1,1,1,1.946083
1,1,1,1,1.045177
1,1,1,1,0.977191
1,0,0,1,1.375187
1,1,1,1,2.269414
1,0,1,0,1.573574
1,1,0,0,1.160797
1,0,0,1,0.962939
1,1,0,0,1.092968
1,0,0,1,0.979521
1,0,0,1,0.860875
1,0,1,0,1.281399
1,0,1,0,1.472446
1,1,1,1,2.248463
1,1,1,1,1.273446
1,1,0,0,1.978523
1,0,0,1,0.986369
1,1,1,1,1.500206
1,1,1,1,0.989587
1,0,0,1,1.488288
1,1,1,1,1.493645
1,0,0,1,1.367797
1,0,0,1,0.878391
1,0,1,0,1.478497
1,1,1,1,1.592087
1,0,1,0,2.325771
1,0,0,1,1.067884
1,0,0,1,1.10518
1,0,0,1,1.097728
1,1,1,1,2.069158
1,1,1,1,1.163397
1,1,0,0,2.153973
1,0,0,1,1.079443
1,1,1,1,1.602923
1,1,1,1,1.18917
1,0,0,1,1.612253
1,1,0,0,1.101308
1,1,0,0,2.125488
1,1,1,1,1.931305
1,1,1,1,1.580843
1,1,1,1,1.067324
1,1,1,1,0.991903
1,0,0,1,1.399122
1,0,0,1,0.882656
1,1,1,1,1.616242
1,0,0,1,1.458291
1,0,0,1,0.999942
1,0,0,1,0.989386
1,1,1,1,1.723901
1,0,0,1,1.267978
1,0,0,1,0.8796
1,1,1,1,1.171904
1,1,0,0,1.262733
1,1,0,0,1.092921
1,0,1,0,1.070877
1,0,0,1,1.19174
1,1,1,1,1.294745
1,1,1,1,1.171161
1,0,0,1,1.47382
1,1,0,0,2.082073
1,0,0,1,0.959317
1,1,0,0,2.620673
1,0,0,1,1.297145
1,0,0,1,0.985938
1,0,0,1,1.215009
1,0,0,1,1.078531
1,0,1,0,1.617932
1,0,0,1,1.391234
1,1,0,0,0.878443
1,0,0,1,1.091784
1,0,1,0,1.286268
1,1,0,0,1.625917
1,0,0,1,1.475011
1,1,0,0,1.464702
1,0,0,1,1.91213
1,1,1,1,1.399703
1,1,1,1,0.982603
1,1,1,1,0.993422
1,1,1,1,0.861859
1,1,1,1,0.878464
1,1,1,1,0.977634
1,1,1,1,0.985887
1,1,1,1,0.983249
1,0,0,1,1.793803
